RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
30-Sep-19,VIC,Brimbank Melton,154
30-Sep-19,VIC,Central Highlands,192
30-Sep-19,VIC,Goulburn,72
30-Sep-19,VIC,Hume Moreland,167
30-Sep-19,VIC,Inner East Melbourne,663
30-Sep-19,VIC,Inner Gippsland,124
30-Sep-19,VIC,Loddon,215
30-Sep-19,VIC,Mallee,80
30-Sep-19,VIC,North East Melbourne,608
30-Sep-19,VIC,Outer East Melbourne,350
30-Sep-19,VIC,Outer Gippsland,58
30-Sep-19,VIC,Ovens Murray,119
30-Sep-19,VIC,Southern Melbourne,197
30-Sep-19,VIC,Western District,249
30-Sep-19,VIC,Western Melbourne,193
30-Sep-19,WA,Central North Metro,15
30-Sep-19,WA,Central South Metro,54
30-Sep-19,WA,North East Metro,290
30-Sep-19,WA,North Metro,28
30-Sep-19,WA,South East Metro,17
30-Sep-19,WA,South Metro,72
30-Sep-19,WA,WA - Other,12
30-Jun-19,ACT,ACT,18
30-Jun-19,NSW,Central Coast,148
30-Jun-19,NSW,Far West,16
30-Jun-19,NSW,Hunter New England,758
30-Jun-19,NSW,Illawarra Shoalhaven,295
30-Jun-19,NSW,Mid North Coast,128
30-Jun-19,NSW,Murrumbidgee,241
30-Jun-19,NSW,Nepean Blue Mountains,330
30-Jun-19,NSW,North Sydney,623
30-Jun-19,NSW,Northern NSW,149
30-Jun-19,NSW,South Eastern Sydney,359
30-Jun-19,NSW,South Western Sydney,404
30-Jun-19,NSW,Southern NSW,132
30-Jun-19,NSW,Sydney,285
30-Jun-19,NSW,Western NSW,303
30-Jun-19,NSW,Western Sydney,600
30-Jun-19,NT,Central Australia,54
30-Jun-19,NT,Darwin Urban,79
30-Jun-19,NT,Katherine,17
30-Jun-19,NT,NT - Other,<11
30-Jun-19,QLD,Beenleigh,300
30-Jun-19,QLD,Brisbane,188
30-Jun-19,QLD,Bundaberg,48
30-Jun-19,QLD,Caboolture/Strathpine,69
30-Jun-19,QLD,Cairns,34
30-Jun-19,QLD,Ipswich,203
30-Jun-19,QLD,Mackay,19
30-Jun-19,QLD,Maroochydore,69
30-Jun-19,QLD,Maryborough,61
30-Jun-19,QLD,Robina,29
30-Jun-19,QLD,Rockhampton,145
30-Jun-19,QLD,Toowoomba,212
30-Jun-19,QLD,Townsville,70
30-Jun-19,SA,Adelaide Hills,44
30-Jun-19,SA,"Barossa, Light and Lower North",33
