SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Guildford West - Merrylands West,20722,1113,156,1269,0.06123926261943828,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.01605594343008443
North Rocks,7878,420,49,469,0.059532876364559534,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.017762329684963177
Eastwood - Denistone,25045,1309,165,1474,0.05885406268716311,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.0184411433623596
Normanhurst - Thornleigh - Westleigh,18531,979,106,1085,0.05855053693810372,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.01874466911141899
Castle Hill - North,11886,582,111,693,0.05830388692579505,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.01899131912372766
North Sydney - Lavender Bay,10703,559,65,624,0.05830141081939643,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.01899379523012628
Glenmore Park - Regentville,21203,1040,196,1236,0.05829363769277932,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.019001568356743388
Pymble,16354,784,151,935,0.057172557172557176,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.020122648876965535
Revesby,16223,818,107,925,0.05701781421438698,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.02027739183513573
Arncliffe - Bardwell Valley,21443,1101,116,1217,0.05675511822039826,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.020540087829124448
Lurnea - Cartwright,11686,543,104,647,0.055365394489132295,Liverpool,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.021929811560390415
Ermington - Rydalmere,21423,1033,152,1185,0.055314381739252204,Carlingford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.021980824310270507
North Ryde - East Ryde,12311,595,82,677,0.054991471042157423,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.022303735007365287
Penrith,13295,635,84,719,0.05408048138397894,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.023214724665543772
Kensington (NSW),14887,707,96,803,0.05393967891448915,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.02335552713503356
Oatlands - Dundas Valley,17788,856,97,953,0.053575444119631215,Carlingford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.023719761929891496
