location_name,SA4,address,latitude,longitude,access,train,ferry,lightrail,bus,taxi,regional_coach,regional_train,coach
Turramurra Station,Sydney - North Sydney and Hornsby,"Rohini St, Turramurra NSW 2074",-33.732182,151.128282,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
UNSW Anzac Parade Light Rail,Sydney - Eastern Suburbs,"Anzac Pde, Kensington NSW 2033",-33.916652,151.225903,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
UNSW High Street Light Rail,Sydney - Eastern Suburbs,"UNSW High St, Randwick NSW 2052",-33.91637,151.235534,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Uralla Station,Outer,"Duke St, Uralla NSW 2358",-30.644076,151.505202,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Urunga Station,Outer,"Orara St, Urunga NSW 2455",-30.499656,153.018678,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wagga Wagga Station,Outer,"Station Pl, Turvey Park NSW 2650",-35.120418,147.36845,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Wallarobba Station,Outer,"Brookfield Rd, Wallarobba NSW 2420",-32.49614,151.69568,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wansey Road Light Rail,Sydney - Eastern Suburbs,"Wansey Rd, Randwick NSW 2031",-33.910519,151.235208,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Warabrook Station,Outer,"Warabrook Bvd, Warabrook NSW 2304",-32.887055,151.70989,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Waratah Mills Light Rail,Sydney - Inner West,"Weston St, Dulwich Hill NSW 2203",-33.898771,151.140122,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Warriewood B-Line,Sydney - Northern Beaches,"Pittwater Rd, Warriewood NSW 2101",-33.696788,151.301419,wheelchair_access,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Warringah Mall,Sydney - Northern Beaches,"Pittwater Rd, Brookvale NSW 2100",-33.767001,151.269114,wheelchair_access,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Warwick Farm Station,Sydney - South West,"Remembrance Ave, Warwick Farm NSW 2170",-33.91345,150.935036,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Waterfall Station,Sydney - Sutherland,"Kooraban St, Waterfall NSW 2233",-34.134385,150.994512,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Wauchope Station,Outer,"Randall St, Wauchope NSW 2446",-31.455909,152.736526,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Waverton Station,Sydney - North Sydney and Hornsby,"Bay Rd, Waverton NSW 2060",-33.838245,151.197856,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Wellington Station,Outer,"Swift St, Wellington NSW 2820",-32.554036,148.946832,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Wentworth Park Light Rail,Sydney - City and Inner South,"Wattle St, Pyrmont NSW 2009",-33.87436,151.193966,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Werrington Station,Sydney - Outer West and Blue Mountains,"Railway St, Werrington NSW 2747",-33.759292,150.75834,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Werris Creek Station,Outer,"Single St, Werris Creek NSW 2341",-31.350139,150.646464,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
